scan_id,scan_name,type,scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,proposed_sg_gpt_gpt-4o-mini,proposed_sg_gpt_gpt-4o-mini_1,proposed_sg_gpt_gpt-4o-mini_2,proposed_sg_gpt_gpt-4o-mini_3,proposed_sg_gpt_gpt-4o-mini_4,proposed_sg_gpt_gpt-4o-mini_5,proposed_sg_gpt_gpt-4o-mini_6,proposed_sg_gpt_gpt-4o-mini_7
unable to deliver refused by recipient by elms-DPD UK-Delivery refused,unable to deliver refused by recipient by elms,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
delivery instructions provided instruction please can you delivery it by 1pm as its needed for a event in the evening and they need to leave by 2pm-DPD UK-New instructions received - We updated the delivery information for your package,delivery instructions provided instruction please can you delivery it by 1pm as its needed for a event in the evening and they need to leave by 2pm,RegEx,0b6f2e65-c1a7-4b3d-90da-de65f31b6160,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,New instructions received - We updated the delivery information for your package,New instructions received - We updated the delivery information for your package,,,,,,,,
delivery to dpd pickup point after unsuccessful delivery attempt not home by dawnbreed records jeff-DPD UK-Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,delivery to dpd pickup point after unsuccessful delivery attempt not home by dawnbreed records jeff,RegEx,66fc71f9-e01b-4b87-9138-14ebf068c01e,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,,,,,,,,
delivery to dpd pickup shop optique malesherbes requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop optique malesherbes requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop primeur saint clement requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop primeur saint clement requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop super u express requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop super u express requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
picked up by consumer by dawnbreed records-DPD UK-Shipment collected,picked up by consumer by dawnbreed records,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Delivered,,,,,,,,
picked up by consumer by ramio fernandez gonzalez-DPD UK-Shipment collected,picked up by consumer by ramio fernandez gonzalez,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Delivered,,,,,,,,
picked up by consumer by rib-DPD UK-Shipment collected,picked up by consumer by rib,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Delivered,,,,,,,,
redirected to depot shipment delayed sms shipment delayed e mail notification sent-DPD UK-Carrier error delayed delivery,redirected to depot shipment delayed sms shipment delayed e mail notification sent,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,,,,,,,,
unable to deliver address query by barry emons-DPD UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,unable to deliver address query by barry emons,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,,,,,
delivered with consignee s authority by schmitt-DPD UK-Delivered,delivered with consignee s authority by schmitt,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by argirov gillmeister dimitar mark-DPD UK-Delivered,delivered with consignee s authority received by argirov gillmeister dimitar mark,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by ḍ rner michael-DPD UK-Delivered,delivered with consignee s authority received by ḍ rner michael,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by lamm mario-DPD UK-Delivered,delivered with consignee s authority received by lamm mario,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by seli gmbh a technik-DPD UK-Delivered,delivered with consignee s authority received by seli gmbh a technik,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by soppa bruno-DPD UK-Delivered,delivered with consignee s authority received by soppa bruno,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivery to dpd pickup shop carrefour market drive requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop carrefour market drive requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop franprix requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop franprix requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop harry̢ s getṛ nkeecke requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop harry̢ s getṛ nkeecke requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop hyper u multimedia billetterie requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop hyper u multimedia billetterie requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop l̢ amiral requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop l̢ amiral requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop la poste carrepro montrouge requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop la poste carrepro montrouge requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop mon animalerie requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop mon animalerie requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop not possible pickup delay e mail notification sent-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop not possible pickup delay e mail notification sent,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Internal activity scan,,,,,,,,
delivery to dpd pickup shop premier wharf road requested not home e mail notification sent-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop premier wharf road requested not home e mail notification sent,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop rapid pare brise monkey requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop rapid pare brise monkey requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
picked up by consumer by ms sabrina mirza-DPD UK-Shipment collected,picked up by consumer by ms sabrina mirza,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Delivered,,,,,,,,
postcode error redirected-DPD UK-Carrier misrouted the shipment - Corrective action underway,postcode error redirected,RegEx,063db3fe-b8dc-4500-a63e-96a2441b08f3,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Carrier misrouted the shipment - Corrective action underway,Transit delay,,,,,,,,
redelivery request service upgrade made for sat 15 june 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent-DPD UK-Delivery scheduled for a future date,redelivery request service upgrade made for sat 15 june 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,RegEx,e5820d09-3fcd-4b89-9dfe-0a32f7672ffe,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery scheduled for a future date,Internal activity scan,,,,,,,,
unable to deliver refused by recipient by dpd-DPD UK-Delivery refused,unable to deliver refused by recipient by dpd,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
delivered with consignee s authority received by prebeck kathrin-DPD UK-Delivered,delivered with consignee s authority received by prebeck kathrin,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
picked up by consumer by i4light-DPD UK-Shipment collected,picked up by consumer by i4light,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Delivered,,,,,,,,
redelivery request new address made for mon 30 january 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent-DPD UK-Delivery to alternative address requested,redelivery request new address made for mon 30 january 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent,RegEx,cae871bc-b874-4a61-9b2a-d980d6afcb21,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to alternative address requested,Delivery to alternative address requested,,,,,,,,
redelivery request service upgrade made for fri 23 august 2024 between 07 00 and 22 00 upgrade acknowledgement sms notification sent-DPD UK-Delivery rescheduled,redelivery request service upgrade made for fri 23 august 2024 between 07 00 and 22 00 upgrade acknowledgement sms notification sent,RegEx,4baae71a-4579-4fed-860a-05da3b13ddc9,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery rescheduled,Delivery rescheduled,,,,,,,,
delivered with consignee s authority received by jacqueline jokic-DPD UK-Delivered,delivered with consignee s authority received by jacqueline jokic,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by stock sebastian-DPD UK-Delivered,delivered with consignee s authority received by stock sebastian,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivery to dpd pickup shop droguerie g dubouloz requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop droguerie g dubouloz requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop toeter gadgets requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop toeter gadgets requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
redelivery request leave in safe place made for fri 16 june 2023 safe place acknowledgement sms notification sent-DPD UK-New instructions received - We updated the delivery information for your package,redelivery request leave in safe place made for fri 16 june 2023 safe place acknowledgement sms notification sent,RegEx,0b6f2e65-c1a7-4b3d-90da-de65f31b6160,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,New instructions received - We updated the delivery information for your package,Request to reschedule delivery,,,,,,,,
redelivery request new address made for fri 26 may 2023-DPD UK-Delivery rescheduled,redelivery request new address made for fri 26 may 2023,RegEx,4baae71a-4579-4fed-860a-05da3b13ddc9,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery rescheduled,Delivery to alternative address requested,,,,,,,,
delivered with consignee s authority received by evgenia grishina-DPD UK-Delivered,delivered with consignee s authority received by evgenia grishina,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivery to dpd pickup point after unsuccessful delivery attempt not home by michelle cooper jrkxjx-DPD UK-Delivery to pick-up point pending,delivery to dpd pickup point after unsuccessful delivery attempt not home by michelle cooper jrkxjx,RegEx,836f52ff-3538-4879-9a97-d681154a864f,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point pending,Delivery to pick-up point pending,,,,,,,,
delivery to dpd pickup shop la tabatiere requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop la tabatiere requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop max shop almelo requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop max shop almelo requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
picked up by consumer by michelle-DPD UK-Shipment collected,picked up by consumer by michelle,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Delivered,,,,,,,,
delivery to dpd pickup shop moreton in marsh post office requested not home sms not home e mail notification sent-DPD UK-Delivery to pick-up point pending,delivery to dpd pickup shop moreton in marsh post office requested not home sms not home e mail notification sent,RegEx,836f52ff-3538-4879-9a97-d681154a864f,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point pending,Delivery to pick-up point requested,,,,,,,,
check address-DPD UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,check address,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,,,,,
delivered collected from depot received by ziffitt id photo id passport-DPD UK-Shipment collected,delivered collected from depot received by ziffitt id photo id passport,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Delivered,,,,,,,,
delivered with consignee s authority by acklam stuart-DPD UK-Delivered,delivered with consignee s authority by acklam stuart,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority by gṛ pke steffen-DPD UK-Delivered,delivered with consignee s authority by gṛ pke steffen,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority by mangold florian-DPD UK-Delivered,delivered with consignee s authority by mangold florian,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
